order	block	identity	path	range	fixture	seed	arm	used_rp	free_rp	observation_id
299	A	breadth-t4-slinger-balanced-b	Blunderbuss	close	node-t4-desert-03	101021	mountain-static	40	7	endurance-01-breadth-t4-slinger-balanced-b-node-t4-desert-03-s101021-mountain
300	A	breadth-t4-spirit-balanced-b	Stormbringer	mid	node-t4-desert-03	101021	mountain-static	43	4	endurance-01-breadth-t4-spirit-balanced-b-node-t4-desert-03-s101021-mountain
301	A	breadth-t4-striker-balanced-c	Justicar	close	node-t4-desert-03	101021	mountain-static	40	7	endurance-01-breadth-t4-striker-balanced-c-node-t4-desert-03-s101021-mountain
302	A	breadth-t4-squire-balanced-c	Stalwart	close	node-t4-desert-03	101021	mountain-static	40	7	endurance-01-breadth-t4-squire-balanced-c-node-t4-desert-03-s101021-mountain
303	A	breadth-t4-apprentice-balanced-c	Cinder Lord	mid	node-t4-desert-03	101021	mountain-static	43	4	endurance-01-breadth-t4-apprentice-balanced-c-node-t4-desert-03-s101021-mountain
304	A	breadth-t4-conduit-balanced-c	Ritualist	mid	node-t4-desert-03	101021	mountain-static	43	4	endurance-01-breadth-t4-conduit-balanced-c-node-t4-desert-03-s101021-mountain
305	A	breadth-t4-slinger-balanced-c	Dualslinger	mid	node-t4-desert-03	101021	mountain-static	43	4	endurance-01-breadth-t4-slinger-balanced-c-node-t4-desert-03-s101021-mountain
306	A	breadth-t4-spirit-balanced-c	Aetherist	mid	node-t4-desert-03	101021	mountain-static	43	4	endurance-01-breadth-t4-spirit-balanced-c-node-t4-desert-03-s101021-mountain
307	B	breadth-t3-striker-heavy	Breaker	close	node-t3-tundra-03	101021	mountain-static	33	5	endurance-01-breadth-t3-striker-heavy-node-t3-tundra-03-s101021-mountain
308	A	breadth-t3-striker-heavy	Breaker	close	node-t3-tundra-03	101021	volcanic-static	33	5	endurance-01-breadth-t3-striker-heavy-node-t3-tundra-03-s101021-volcanic
309	A	breadth-t3-squire-heavy	Bulwark	close	node-t3-tundra-03	101021	mountain-static	33	5	endurance-01-breadth-t3-squire-heavy-node-t3-tundra-03-s101021-mountain
310	A	breadth-t3-apprentice-heavy	Rime-Bound	mid	node-t3-tundra-03	101021	mountain-static	36	2	endurance-01-breadth-t3-apprentice-heavy-node-t3-tundra-03-s101021-mountain
311	A	breadth-t3-conduit-heavy	Effigy	mid	node-t3-tundra-03	101021	mountain-static	36	2	endurance-01-breadth-t3-conduit-heavy-node-t3-tundra-03-s101021-mountain
312	A	breadth-t3-slinger-heavy	Artillerist	mid	node-t3-tundra-03	101021	mountain-static	36	2	endurance-01-breadth-t3-slinger-heavy-node-t3-tundra-03-s101021-mountain
313	A	breadth-t3-spirit-heavy	Phantasm	mid	node-t3-tundra-03	101021	mountain-static	36	2	endurance-01-breadth-t3-spirit-heavy-node-t3-tundra-03-s101021-mountain
314	A	breadth-t4-striker-heavy-a	Berserker	close	node-t4-desert-03	101021	mountain-static	40	7	endurance-01-breadth-t4-striker-heavy-a-node-t4-desert-03-s101021-mountain
315	B	breadth-t4-squire-heavy-a	Avenger	close	node-t4-desert-03	101021	mountain-static	40	7	endurance-01-breadth-t4-squire-heavy-a-node-t4-desert-03-s101021-mountain
316	A	breadth-t4-squire-heavy-a	Avenger	close	node-t4-desert-03	101021	volcanic-static	40	7	endurance-01-breadth-t4-squire-heavy-a-node-t4-desert-03-s101021-volcanic
317	A	breadth-t4-apprentice-heavy-a	Icebreaker	mid	node-t4-desert-03	101021	mountain-static	43	4	endurance-01-breadth-t4-apprentice-heavy-a-node-t4-desert-03-s101021-mountain
318	B	breadth-t4-conduit-heavy-a	Covenanter	mid	node-t4-desert-03	101021	mountain-static	36	11	endurance-01-breadth-t4-conduit-heavy-a-node-t4-desert-03-s101021-mountain
319	A	breadth-t4-conduit-heavy-a	Covenanter	mid	node-t4-desert-03	101021	volcanic-static	36	11	endurance-01-breadth-t4-conduit-heavy-a-node-t4-desert-03-s101021-volcanic
320	B	breadth-t4-slinger-heavy-a	Melter	mid	node-t4-desert-03	101021	mountain-static	40	7	endurance-01-breadth-t4-slinger-heavy-a-node-t4-desert-03-s101021-mountain
321	A	breadth-t4-slinger-heavy-a	Melter	mid	node-t4-desert-03	101021	volcanic-static	40	7	endurance-01-breadth-t4-slinger-heavy-a-node-t4-desert-03-s101021-volcanic
322	A	breadth-t4-spirit-heavy-a	Voidwalker	mid	node-t4-desert-03	101021	mountain-static	43	4	endurance-01-breadth-t4-spirit-heavy-a-node-t4-desert-03-s101021-mountain
323	B	breadth-t4-striker-heavy-b	Hemomancer	close	node-t4-desert-03	101021	mountain-static	40	7	endurance-01-breadth-t4-striker-heavy-b-node-t4-desert-03-s101021-mountain
324	A	breadth-t4-striker-heavy-b	Hemomancer	close	node-t4-desert-03	101021	volcanic-static	40	7	endurance-01-breadth-t4-striker-heavy-b-node-t4-desert-03-s101021-volcanic
325	B	breadth-t4-squire-heavy-b	Destroyer	close	node-t4-desert-03	101021	mountain-static	40	7	endurance-01-breadth-t4-squire-heavy-b-node-t4-desert-03-s101021-mountain
326	A	breadth-t4-squire-heavy-b	Destroyer	close	node-t4-desert-03	101021	volcanic-static	40	7	endurance-01-breadth-t4-squire-heavy-b-node-t4-desert-03-s101021-volcanic
327	A	breadth-t4-apprentice-heavy-b	Winter Warden	mid	node-t4-desert-03	101021	mountain-static	43	4	endurance-01-breadth-t4-apprentice-heavy-b-node-t4-desert-03-s101021-mountain
328	A	breadth-t4-conduit-heavy-b	Champion	close	node-t4-desert-03	101021	mountain-static	40	7	endurance-01-breadth-t4-conduit-heavy-b-node-t4-desert-03-s101021-mountain
329	A	breadth-t4-slinger-heavy-b	Warmonger	mid	node-t4-desert-03	101021	mountain-static	43	4	endurance-01-breadth-t4-slinger-heavy-b-node-t4-desert-03-s101021-mountain
330	A	breadth-t4-spirit-heavy-b	Invoker	mid	node-t4-desert-03	101021	mountain-static	43	4	endurance-01-breadth-t4-spirit-heavy-b-node-t4-desert-03-s101021-mountain
331	A	breadth-t4-striker-heavy-c	Juggernaut	close	node-t4-desert-03	101021	mountain-static	40	7	endurance-01-breadth-t4-striker-heavy-c-node-t4-desert-03-s101021-mountain
332	A	breadth-t4-squire-heavy-c	Devout Priest	close	node-t4-desert-03	101021	mountain-static	40	7	endurance-01-breadth-t4-squire-heavy-c-node-t4-desert-03-s101021-mountain
333	A	breadth-t4-apprentice-heavy-c	Wind Spirit	mid	node-t4-desert-03	101021	mountain-static	43	4	endurance-01-breadth-t4-apprentice-heavy-c-node-t4-desert-03-s101021-mountain
334	A	breadth-t4-conduit-heavy-c	Idolwright	mid	node-t4-desert-03	101021	mountain-static	43	4	endurance-01-breadth-t4-conduit-heavy-c-node-t4-desert-03-s101021-mountain
335	A	breadth-t4-slinger-heavy-c	Cannoneer	mid	node-t4-desert-03	101021	mountain-static	43	4	endurance-01-breadth-t4-slinger-heavy-c-node-t4-desert-03-s101021-mountain
336	A	breadth-t4-spirit-heavy-c	Tempest	mid	node-t4-desert-03	101021	mountain-static	43	4	endurance-01-breadth-t4-spirit-heavy-c-node-t4-desert-03-s101021-mountain
